Notes	Injury Mechanism & All Other Leading Causes	Injury Mechanism & All Other Leading Causes Code	Deaths	Population	Crude Rate	Remove	MeSH.Terms	Abbreviation	MeSH.IDs
	Non-Injury: Diseases of Heart	GR113 055-068	6787951	3368035901	201.54	FALSE	Heart Diseases	Heart disease	D006331
	Non-Injury: Malignant neoplasms (Cancers)	GR113 020-043	6279697	3368035901	186.45	FALSE	Neoplasms	Cancer	D009369
	Non-Injury: All other diseases (Residual)	GR113-111	2907844	3368035901	86.34	TRUE			
	Non-Injury: Chronic lower respiratory diseases	GR113 082	1504688	3368035901	44.68	FALSE	Lung Diseases	Lung disease	D008171
	"Non-Injury: Cerebrovascular diseases, including stroke"	GR113-070	1478749	3368035901	43.91	FALSE	Cerebrovascular Disorders	Cerebrovascular disease	D002561
	Non-Injury: Alzheimers disease	GR113-052	876479	3368035901	26.02	FALSE	Alzheimer Disease	Alzheimer disease	D000544
	Non-Injury: Diabetes mellitus	GR113-046	800246	3368035901	23.76	FALSE	Diabetes Mellitus	Diabetes	D003920
	Non-Injury: Influenza & Pneumonia	GR113 077-078	608449	3368035901	18.07	FALSE	"Pneumonia;Influenza, Human"	Influenza & pneumonia	D011014;D007251
	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	GR113 097	512292	3368035901	15.21	FALSE	Nephrotic Syndrome;Nephrosis;Nephritis	"Nephritis, nephrotic syndrome and nephrosis"	D009404;D009401;D009393
	Poisoning	GRINJ-015	458641	3368035901	13.62	FALSE	Poisoning	Poisoning	D011041
	Motor Vehicle Traffic	GRINJ-008	415209	3368035901	12.33	FALSE	"Motor Vehicles;Accidents, Traffic"	Motor vehicles	D018986;D000063
	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	GR113-110	396289	3368035901	11.77	TRUE			
	Non-Injury: Septicemia	GR113-010	391635	3368035901	11.63	FALSE	Sepsis	Sepsis	D018805
	Firearm	GRINJ-006	350144	3368035901	10.4	FALSE	Firearms	Gun violence	D005389
	Non-Injury: Chronic liver disease and cirrhosis	GR113 093	346905	3368035901	10.3	FALSE	Liver Diseases	Liver disease	D008107
	Non-Injury: Other diseases of respiratory system	GR113-089	339607	3368035901	10.08	TRUE			
	Non-Injury: Essential (primary) hypertension and hypertensive renal disease	GR113-069	291867	3368035901	8.67	FALSE	Hypertension	Hypertension	D006973
	Fall	GRINJ-003	284715	3368035901	8.45	FALSE	Accidental Falls	Falls	D000058
	Non-Injury: Parkinsons disease	GR113-051	238512	3368035901	7.08	FALSE	Parkinson Disease	Parkinson disease	D010300
	Non-Injury: Other diseases of the circulatory system	GR113 073-074	225729	3368035901	6.7	TRUE			
	Non-Injury: Pneumonitis due to solids and liquids	GR113-088	190964	3368035901	5.67	FALSE	"Pneumonia, Aspiration;Respiratory Aspiration"	Aspiration	D011015;D053120
	Suffocation	GRINJ-017	174294	3368035901	5.17	FALSE	Asphyxia	Suffocation	D001237
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	GR113-044	160932	3368035901	4.78	TRUE			
	Non-Injury: Certain conditions originating in the perinatal period	GR113-108	144913	3368035901	4.3	TRUE			
	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	GR113-109	110192	3368035901	3.27	TRUE			
	Non-Injury: Human immunodeficiency virus (HIV) disease	GR113-016	105649	3368035901	3.14	FALSE	HIV;Acquired Immunodeficiency Syndrome	HIV	D006678;D000163
	Non-Injury: Intestinal infections	GR113 001-003	94312	3368035901	2.8	FALSE	"Dysentery;Intestinal Diseases, Parasitic;Salmonella Infections"	Intestinal infection	D004403;D007411;D012480
	Unspecified Injury	GRINJ-020	91549	3368035901	2.72	TRUE			
	Non-Injury: Atherosclerosis	GR113-071	89961	3368035901	2.67	FALSE	Atherosclerosis	Atherosclerosis	D050197
	Non-Injury: Viral hepatitis	GR113-015	80605	3368035901	2.39	FALSE	"Hepatitis, Viral, Human"	Viral hepatitis	D006525
	Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae	GR113-018	68519	3368035901	2.03	TRUE			
	Non-Injury: Anemias	GR113-045	52871	3368035901	1.57	FALSE	Anemia	Anemia	D000740
